u,i,ts,label,duration
1,67,12401857.0,14.0,340.0
2,68,12401860.0,14.0,137.0
3,69,12401916.0,14.0,312.0
4,70,12401965.0,14.0,405.0
5,71,12402127.0,14.0,1062.0
3,69,12402296.0,14.0,1802.0
6,72,12402365.0,14.0,112.0
1,73,12402419.0,14.0,327.0
7,74,12402431.0,14.0,226.0
8,69,12402476.0,14.0,102.0
9,75,16.0,5.0,272.0
9,76,318.0,5.0,340.0
10,77,353.0,5.0,221.0
11,78,521.0,5.0,69.0
10,79,594.0,5.0,392.0
9,80,677.0,5.0,255.0
12,81,863.0,5.0,930.0
13,81,864.0,5.0,772.0
9,82,947.0,5.0,186.0
14,83,998.0,5.0,160.0
15,84,6.0,2.0,74.0
16,85,44.0,2.0,455.0
17,86,52.0,2.0,60.0
18,87,94.0,2.0,110.0
19,88,254.0,2.0,108.0
20,89,422.0,2.0,249.0
21,90,496.0,2.0,277.0
22,91,551.0,2.0,180.0
23,92,578.0,2.0,245.0
24,93,682.0,2.0,231.0
25,94,40.0,0.0,283.0
26,95,170.0,0.0,116.0
27,94,341.0,0.0,160.0
28,96,456.0,0.0,537.0
25,97,499.0,0.0,588.0
29,98,536.0,0.0,538.0
30,99,599.0,0.0,84.0
31,100,648.0,0.0,216.0
27,101,791.0,0.0,596.0
32,100,955.0,0.0,540.0
33,102,8265502.0,21.0,161.0
34,103,8265675.0,21.0,148.0
33,104,8265678.0,21.0,363.0
35,105,8265717.0,21.0,880.0
36,106,8265760.0,21.0,92.0
37,106,8265780.0,21.0,187.0
38,106,8265799.0,21.0,131.0
39,106,8265840.0,21.0,1201.0
40,107,8266072.0,21.0,314.0
33,108,8266084.0,21.0,278.0
41,109,1252.0,24.0,80.0
42,110,1607.0,24.0,1124.0
43,111,1771.0,24.0,254.0
44,111,1778.0,24.0,487.0
41,111,1815.0,24.0,231.0
45,110,1820.0,24.0,108.0
46,112,2078.0,24.0,345.0
44,111,2719.0,24.0,389.0
46,112,3009.0,24.0,473.0
42,110,3112.0,24.0,123.0
47,113,67.0,28.0,519.0
48,114,330.0,28.0,226.0
49,115,689.0,28.0,579.0
50,116,811.0,28.0,89.0
50,116,952.0,28.0,99.0
50,114,1084.0,28.0,177.0
51,117,1107.0,28.0,496.0
50,118,1291.0,28.0,112.0
52,119,1327.0,28.0,75.0
51,120,1629.0,28.0,338.0
53,121,5331109.0,12.0,84.0
54,122,5331135.0,12.0,136.0
55,123,5331217.0,12.0,256.0
56,124,5331239.0,12.0,430.0
57,125,5331250.0,12.0,361.0
58,126,5331254.0,12.0,105.0
53,121,5331609.0,12.0,187.0
53,122,5331833.0,12.0,121.0
59,127,5331903.0,12.0,891.0
55,123,5331923.0,12.0,190.0
60,128,651.0,26.0,331.0
61,129,784.0,26.0,153.0
62,128,1085.0,26.0,303.0
60,128,1505.0,26.0,340.0
63,130,3046.0,26.0,145.0
63,131,3552.0,26.0,383.0
61,129,4030.0,26.0,266.0
64,130,4282.0,26.0,101.0
61,132,5563.0,26.0,154.0
61,132,6245.0,26.0,339.0
65,133,1766.0,3.0,350.0
65,133,2213.0,3.0,761.0
66,134,4012.0,3.0,456.0
65,135,4696.0,3.0,291.0
66,136,6650.0,3.0,177.0
65,137,8716.0,3.0,638.0
66,137,8810.0,3.0,1729.0
65,137,9411.0,3.0,584.0
62,137,12718.0,3.0,136.0
62,138,12934.0,3.0,140.0
